fecha,dia_semana,hora,tipo_tramite,personas_en_fila,ventanillas_abiertas,tiempo_espera_min
2026-03-23,Martes,8,Pasaporte,41,4,22.25
2026-04-05,Viernes,8,Impuestos,83,6,20.83
2026-01-05,Viernes,7,Certificado,10,3,15.33
2026-01-04,Martes,15,Impuestos,17,6,20.83
2026-03-17,Jueves,11,Carnet,91,2,55.5
2026-02-05,Lunes,9,Impuestos,53,4,21.25
2026-01-13,Lunes,12,Impuestos,104,6,30.33
2026-03-10,Viernes,8,Carnet,99,5,26.8
2026-04-17,Lunes,17,Licencia,28,6,15.67
2026-03-26,Martes,10,Licencia,89,4,29.25
2026-02-18,Miércoles,11,Carnet,69,4,27.25
2026-01-27,Viernes,17,Pasaporte,22,2,21.0
2026-01-21,Miércoles,14,Licencia,108,4,39.0
2026-01-30,Lunes,7,Pasaporte,25,5,18.0
2026-04-27,Jueves,16,Impuestos,25,3,28.33
2026-01-19,Viernes,11,Impuestos,48,3,29.0
2026-04-25,Martes,16,Certificado,30,4,19.5
2026-03-05,Martes,8,Pasaporte,88,2,52.0
2026-04-12,Jueves,17,Impuestos,32,6,12.33
2026-03-18,Lunes,14,Certificado,127,4,36.75
2026-04-07,Miércoles,11,Impuestos,89,4,30.25
2026-01-21,Viernes,14,Licencia,60,4,25.0
2026-04-22,Martes,17,Carnet,24,6,15.0
2026-04-08,Viernes,9,Carnet,74,6,17.33
2026-03-04,Martes,7,Licencia,12,4,17.0
2026-01-31,Lunes,16,Certificado,10,2,25.0
2026-04-09,Miércoles,9,Certificado,48,5,19.6
2026-04-22,Miércoles,16,Impuestos,32,3,21.67
2026-03-27,Lunes,17,Pasaporte,28,5,24.6
2026-01-29,Viernes,8,Pasaporte,61,2,42.5
2026-01-01,Lunes,8,Licencia,85,2,54.5
2026-04-21,Miércoles,12,Impuestos,69,6,23.5
2026-01-28,Martes,15,Impuestos,13,6,22.17
2026-04-14,Jueves,13,Carnet,84,2,50.0
2026-02-24,Lunes,13,Impuestos,119,2,67.5
2026-04-04,Martes,12,Certificado,73,3,35.33
2026-02-27,Jueves,9,Pasaporte,67,3,35.33
2026-04-22,Lunes,8,Certificado,68,6,19.33
2026-04-18,Jueves,7,Impuestos,10,3,13.33
2026-03-03,Martes,10,Impuestos,95,5,25.0
2026-01-01,Jueves,13,Certificado,93,5,32.6
2026-03-26,Martes,14,Licencia,79,3,40.33
2026-03-16,Lunes,15,Certificado,8,4,8.0
2026-03-03,Viernes,15,Licencia,38,3,18.67
2026-04-19,Martes,9,Impuestos,44,6,14.33
2026-01-16,Viernes,16,Licencia,20,6,9.33
2026-02-23,Martes,17,Carnet,38,4,22.5
2026-01-31,Jueves,11,Carnet,65,3,35.67
2026-04-29,Lunes,8,Certificado,40,5,16.0
2026-01-28,Lunes,15,Pasaporte,21,3,23.0
2026-02-17,Viernes,11,Certificado,50,5,24.0
2026-01-02,Martes,17,Carnet,40,4,18.0
2026-01-15,Miércoles,8,Carnet,87,6,23.5
2026-03-19,Miércoles,10,Certificado,85,4,32.25
2026-03-04,Jueves,11,Carnet,97,2,55.5
2026-01-06,Martes,7,Impuestos,26,3,21.67
2026-03-12,Lunes,13,Pasaporte,131,2,73.5
2026-03-11,Jueves,7,Pasaporte,28,6,13.67
2026-01-06,Martes,11,Pasaporte,63,2,47.5
2026-03-27,Viernes,8,Pasaporte,62,6,28.33
2026-04-29,Jueves,10,Licencia,95,3,41.67
2026-01-23,Martes,12,Licencia,112,3,50.33
2026-02-18,Jueves,7,Carnet,35,3,22.67
2026-02-09,Jueves,10,Carnet,54,2,38.0
2026-02-05,Viernes,8,Impuestos,89,4,38.25
2026-03-28,Miércoles,15,Pasaporte,26,2,21.0
2026-03-16,Miércoles,11,Carnet,42,2,39.0
2026-02-25,Viernes,16,Pasaporte,37,2,35.5
2026-02-02,Miércoles,7,Impuestos,32,2,27.0
2026-01-09,Lunes,17,Carnet,26,6,19.33
2026-03-06,Jueves,11,Carnet,82,5,31.4
2026-03-12,Martes,9,Certificado,52,5,27.4
2026-03-14,Miércoles,11,Carnet,65,6,15.83
2026-01-27,Jueves,13,Impuestos,134,6,37.33
2026-02-26,Martes,17,Licencia,18,6,23.0
2026-02-06,Miércoles,15,Pasaporte,26,2,25.0
2026-04-14,Martes,10,Impuestos,49,2,30.5
2026-03-20,Jueves,8,Impuestos,69,5,24.8
2026-02-21,Jueves,10,Pasaporte,49,2,32.5
2026-01-23,Lunes,15,Impuestos,34,2,29.0
2026-01-18,Jueves,14,Certificado,127,6,36.17
